prompt_id,p_tokens,model_id,gpu_id,running_req_count,waiting_req_count,kv_cache_usage_perc,ttft_avg,itl_avg,e2e_avg,ttft_s,tpot_s_per_token,latency_s,d_tokens,pattern_type,arrival_rate,model_hf,carrot_predicted_quality,carrot_predicted_cost,carrot_predicted_length,predicted_ttft,predicted_tpot,prompt_source_id,actual_quality_score,model_id_int,umr_quality_score,umr_cost_score,irt_quality_score,irt_cost_score
0,13,qwen14b,0,26.0,24.0,0.982765780730897,0.0,0.0634081120038554,64.48288953304291,34.137959480285645,0.0909273862838745,61.416175365448,300,poisson,18.0,Qwen2.5-14B-Instruct,0.7463583671122159,9.120524873200722e-05,912,28.049434661865234,0.0870901122689247,unified_chip2/21055,0.9,0,0.945945945945946,2.2e-07,0.9231222867965698,2.2e-07
0,13,phi3-mini,0,12.0,0.0,0.9521604938271604,0.0,0.0423796097747981,0.0,0.0958476066589355,0.0283520073930094,6.957033395767212,242,poisson,18.0,Phi-3-mini-128k-instruct,0.5680884888052815,9.916261214637922e-05,991,0.4260476231575012,0.0388825163245201,unified_chip2/21055,0.8,1,0.6081081081081081,1.0000000000000001e-07,0.6757279634475708,1.0000000000000001e-07
0,13,llama3-8b,1,16.0,0.0,0.2760511882998172,0.0,0.0381233986053201,0.0,0.0755224227905273,0.0429154294300316,17.37044048309326,403,poisson,18.0,Llama-3.1-8B-Instruct,0.7043965341761277,0.000104002849384,1040,0.1244565993547439,0.0558216162025928,unified_chip2/21055,0.9,2,0.8378378378378378,3e-08,0.8406571745872498,3e-08
0,13,qwen3b,1,7.0,0.0,0.1213858107247484,0.0335726737976074,0.028996122710697,0.0,0.0528221130371093,0.0368052604463365,16.61518931388855,450,poisson,18.0,Qwen2.5-3B-Instruct,0.6818009890405273,3.3846872363714e-05,338,0.0720805153250694,0.0306783635169267,unified_chip2/21055,1.0,3,0.8243243243243243,5e-08,0.8527674078941345,5.0000000000000004e-08
0,13,mistral7b,1,18.0,43.0,0.8063583815028902,0.0,0.041914705807964,0.0,44.268985748291016,0.0574741579484248,60.131853342056274,276,poisson,18.0,Mistral-7B-Instruct-v0.3,0.8904329285719155,3.373120293254204e-05,337,49.19891357421875,0.0646634623408317,unified_chip2/21055,0.9,4,0.945945945945946,2.0000000000000002e-07,0.9366841316223145,2.0000000000000002e-07
1,7,qwen14b,0,19.0,0.0,0.804609634551495,0.0,0.0,0.0,0.3946819305419922,0.0685071001914431,22.38546109199524,321,poisson,18.0,Qwen2.5-14B-Instruct,0.952791651227695,6.090168491247645e-05,609,0.6253001093864441,0.0764728263020515,unified_chip2/93413,1.0,0,0.945945945945946,2.2e-07,0.9418206214904785,2.2e-07
1,7,phi3-mini,0,8.0,0.0,0.4807098765432098,0.0,0.0270727888609354,0.0,0.0388298034667968,0.0308039797216927,30.19592595100403,979,poisson,18.0,Phi-3-mini-128k-instruct,0.551061385607655,0.0001051755769713,1051,0.0711944177746772,0.0311418268829584,unified_chip2/93413,0.9,1,0.6081081081081081,1.0000000000000001e-07,0.7954266667366028,1.0000000000000001e-07
1,7,llama3-8b,1,25.0,5.0,0.9145753697856074,0.0,0.0543394129102428,0.0,5.118153810501099,0.0544812054743142,31.32361364364624,481,poisson,18.0,Llama-3.1-8B-Instruct,0.8601726243285499,9.223443370346272e-05,922,3.3246214389801025,0.0738164782524108,unified_chip2/93413,0.8,2,0.8378378378378378,3e-08,0.8243551254272461,3e-08
1,7,qwen3b,1,9.0,0.0,0.2023945994140873,0.0,0.0272657452151179,3.35028338432312,0.0663330554962158,0.0364851354207196,16.229248046875,443,poisson,18.0,Qwen2.5-3B-Instruct,0.7715936449275603,3.633918081492586e-05,363,0.0695312395691871,0.0319332890212535,unified_chip2/93413,0.9,3,0.8243243243243243,5e-08,0.9069191813468933,5.0000000000000004e-08
1,7,mistral7b,1,10.0,40.0,0.9986660738105824,0.0,0.051050240440028,0.0,61.80928158760071,0.0722177957182723,97.41265487670898,493,poisson,18.0,Mistral-7B-Instruct-v0.3,0.9137408289913346,3.466172919736596e-05,346,51.42929458618164,0.0615610182285308,unified_chip2/93413,0.9,4,0.945945945945946,2.0000000000000002e-07,0.9370535016059875,2.0000000000000002e-07
2,12,qwen14b,0,38.0,5.0,0.852782392026578,0.0,0.0636187153927823,37.7224360704422,19.36152958869934,0.1018489249188307,68.96195602416992,487,poisson,18.0,Qwen2.5-14B-Instruct,0.8147217851682531,9.059490075557578e-05,905,4.221918106079102,0.0968246683478355,unified_chip2/48799,0.9,0,0.8461538461538461,2.2e-07,0.8653112649917603,2.2e-07
2,12,phi3-mini,0,17.0,0.0,0.8773148148148148,0.0,0.5069814212620258,0.0,0.0573847293853759,0.0337962597414624,15.637460470199583,461,poisson,18.0,Phi-3-mini-128k-instruct,0.3501075942126972,9.57492625557184e-05,957,0.5024644136428833,0.0338208116590976,unified_chip2/48799,0.5,1,0.4615384615384615,1.0000000000000001e-07,0.6186571717262268,1.0000000000000001e-07
2,12,llama3-8b,1,16.0,0.0,0.4818015622403191,0.0,0.0453226403333246,0.0,0.0692317485809326,0.0499527909624294,25.44524955749512,508,poisson,18.0,Llama-3.1-8B-Instruct,0.6739150709852785,9.63750369725452e-05,963,0.1142768785357475,0.0580369234085083,unified_chip2/48799,0.7,2,0.7884615384615384,3e-08,0.7434290647506714,3e-08
2,12,qwen3b,1,6.0,0.0,0.141892752515603,0.0,0.4353962205350399,0.0,0.0643246173858642,0.0293230485380365,13.113081216812134,445,poisson,18.0,Qwen2.5-3B-Instruct,0.5342216770273664,7.205908267334383e-05,720,0.1405037343502044,0.0308314003050327,unified_chip2/48799,0.7,3,0.7692307692307693,5e-08,0.7993773221969604,5.0000000000000004e-08
